,course_name,description,url,clean_text
14,Computational Social Science Capstone Project,"Integrative lab applying computational social science skills: web scraping, network analysis, NLP, and agent-based modeling to analyze social media data and simulate idea diffusion.",https://www.classcentral.com/course/css-capstone-17985,integrative lab apply computational social science skill web scraping network analysis nlp agent base modeling analyze social media datum simulate idea diffusion
15,CSS Variable Secrets - Harnessing the Full Power of Custom Properties,"Unlock the full potential of CSS custom properties with expert tips, tricks, and gotchas. Gain a deeper understanding and refresh your CSS toolbox in this interactive journey from practical to cutting-edge techniques.",https://www.classcentral.com/classroom/youtube-css-variable-secrets-lea-verou-css-day-2022-251302,unlock potential css custom property expert tip trick gotcha gain deep understanding refresh css toolbox interactive journey practical cutting edge technique
16,Machine Learning - Lecture 2,"Explore machine learning fundamentals, focusing on linear regression, gradient descent, and model evaluation techniques for predictive analysis and data-driven decision making.",https://www.classcentral.com/classroom/youtube-csep-546-lecture-2-253881,explore machine learning fundamental focus linear regression gradient descent model evaluation technique predictive analysis data drive decision making
17,"CSS Position Deep Dive - Understanding Static, Relative, Absolute, Fixed, and Sticky","Comprehensive exploration of CSS positioning properties, covering static, relative, absolute, fixed, and sticky, with practical examples and insights into containing blocks and potential pitfalls.",https://www.classcentral.com/classroom/youtube-css-position-deep-dive-270048,comprehensive exploration css positioning property cover static relative absolute fix sticky practical example insight contain block potential pitfall
18,CSS Art Crash Course - By Example,"Learn to create simple illustrations using HTML and CSS techniques, exploring CSS art through hands-on examples and step-by-step guidance.",https://www.classcentral.com/classroom/youtube-css-art-crash-course-by-example-153825,learn create simple illustration use html css technique explore css art hand example step step guidance
19,You Probably Want Position- Sticky Instead of Fixed,"Explore the differences between position: fixed and sticky in CSS, with practical examples and creative use cases for sticky positioning in web design.",https://www.classcentral.com/classroom/youtube-you-probably-want-position-sticky-instead-of-fixed-182684,explore difference position fix sticky css practical example creative use case sticky positioning web design
20,CSS Background Values: Space and Round - Enhancing Image Repetition,"Discover lesser-known CSS background values: space and round. Learn their unique behaviors, browser support, and practical applications to enhance your web designs.",https://www.classcentral.com/classroom/youtube-the-background-values-no-one-knows-about-283689,discover lesser know css background value space round learn unique behavior browser support practical application enhance web design
21,Creating a Cool Bubble Zoom Effect with CSS,"Learn to create an engaging bubble zoom effect using CSS, including grid animations, avatar scaling, and transition delays for a dynamic and interactive design.",https://www.classcentral.com/classroom/youtube-create-a-cool-bubble-zoom-effect-with-css-286145,learn create engaging bubble zoom effect use css include grid animation avatar scaling transition delay dynamic interactive design
22,Cloning CSS Day Effect Using Modern CSS,"Learn to recreate a fun CSS effect from CSS Day using modern techniques. Explore grid layouts, image positioning, and hover effects to enhance your web design skills.",https://www.classcentral.com/classroom/youtube-can-i-clone-this-fun-effect-from-css-day-using-modern-css-284430,learn recreate fun css effect css day use modern technique explore grid layout image positioning hover effect enhance web design skill
23,Start Over-Engineering Your CSS - Benefits and Techniques,"Explore the benefits of embracing complexity in CSS solutions, deepening understanding and creating robust alternatives to simple approaches.",https://www.classcentral.com/classroom/youtube-start-over-engineering-your-css-kevin-powell-css-day-2024-303428,explore benefit embrace complexity css solution deepen understanding create robust alternative simple approach
24,Simple Details and Summary Animation with Pure CSS,"Master modern CSS techniques to create smooth animations for details/summary elements, exploring interpolate-size and pseudo-elements for enhanced user interactions.",https://www.classcentral.com/classroom/youtube-at-last-simple-details-summary-animation-with-pure-css-364940,master modern css technique create smooth animation detail summary element explore interpolate size pseudo element enhanced user interaction
25,Solving CSS Battles - Live Coding and Problem-Solving,"Watch a live CSS problem-solving session as the instructor tackles complex challenges on CSS Battles, demonstrating effective techniques and thought processes for mastering advanced CSS skills.",https://www.classcentral.com/classroom/youtube-am-i-good-enough-to-solve-these-css-battles-305230,watch live css problem solve session instructor tackle complex challenge css battle demonstrate effective technique thought process master advanced css skill
26,Master CSS Overflow and Text Wrapping Techniques for Senior Developers,"Discover advanced CSS overflow and text wrapping techniques, including lesser-known properties like overflow-anchor, word-break, and line-clamp, to enhance your web development skills.",https://www.classcentral.com/classroom/youtube-master-css-overflow-text-wrapping-like-a-senior-developer-305232,discover advanced css overflow text wrapping technique include lesser know property like overflow anchor word break line clamp enhance web development skill
27,7 CSS Responsive Sizing Features You Should Know,"Discover 7 essential CSS responsive sizing features for optimal element sizing and layout control, enhancing your web design skills and site functionality.",https://www.classcentral.com/classroom/youtube-you-should-know-these-7-css-responsive-sizing-features-305239,discover essential css responsive sizing feature optimal element sizing layout control enhance web design skill site functionality
28,CSS Popover and Anchor Positioning Tutorial - Creating Dynamic Element Connections,"Master CSS anchor positioning and popover functionality to create dynamic, position-aware elements with modern techniques and polyfills for cross-browser compatibility and smooth animations.",https://www.classcentral.com/classroom/youtube-css-popover-anchor-positioning-is-magical-381454,master css anchor positioning popover functionality create dynamic position aware element modern technique polyfill cross browser compatibility smooth animation
29,Creating a Rotating Gradient Border Effect with CSS,"Master CSS gradient animations by recreating a rotating, blurred border effect with conic gradients, masks, and pseudo-elements. Learn advanced techniques for creating dynamic visual effects through practical implementation.",https://www.classcentral.com/classroom/youtube-can-i-clone-this-rotating-gradient-inner-glow-effect-385872,master css gradient animation recreate rotate blurred border effect conic gradient mask pseudo element learn advanced technique create dynamic visual effect practical implementation
30,Top 5 Front-End Development Tips - From Console.log to Modern CSS,"Discover essential front-end development tricks, from CSS debugging techniques and dynamic favicons to advanced number input handling and modern CSS functions like min() for more efficient coding.",https://www.classcentral.com/classroom/youtube-my-top-5-most-popular-front-end-tips-355430,discover essential end development trick css debug technique dynamic favicon advanced number input handling modern css function like min efficient coding
31,CSS @scope: Simplifying Naming and Specificity Management,"Explore @scope in CSS: simplify naming, manage specificity, and enhance style organization. Learn its benefits, usage, and potential challenges in this comprehensive guide.",https://www.classcentral.com/classroom/youtube-naming-things-just-got-easier-thanks-to-atscope-296147,explore css simplify naming manage specificity enhance style organization learn benefit usage potential challenge comprehensive guide
32,5 Common CSS Mistakes Beginners Should Avoid,"Learn to avoid common CSS pitfalls, including collapsing margins, overusing positioning, and misusing flexbox/grid. Gain insights on best practices for efficient and effective styling.",https://www.classcentral.com/classroom/youtube-avoid-these-5-beginner-css-mistakes-292458,learn avoid common css pitfall include collapse margin overuse positioning misusing flexbox grid gain insight good practice efficient effective styling
33,Transitioning To and From Display: None in CSS,"Learn to smoothly animate elements between visible and hidden states using CSS transitions and the new @starting-style rule, with tips on browser support and best practices.",https://www.classcentral.com/classroom/youtube-we-can-now-transition-to-and-from-display-none-294992,learn smoothly animate element visible hidden state use css transition new style rule tip browser support good practice
34,@property - One of the Coolest New CSS Features,"Explore the revolutionary @property CSS feature, its potential impact, and how to effectively implement it in your web development projects.",https://www.classcentral.com/classroom/youtube-atproperty-is-one-of-the-coolest-new-css-features-312517,explore revolutionary css feature potential impact effectively implement web development project
35,Dynamic Numbering with CSS Counters,"Explore dynamic numbering with CSS counters, from basic implementation to advanced techniques. Learn to create, increment, and customize counters for enhanced web design.",https://www.classcentral.com/classroom/youtube-dynamic-numbering-with-css-counters-328838,explore dynamic numbering css counter basic implementation advanced technique learn create increment customize counter enhance web design
36,Creating Discord's CSS-Only Search Input Animation Tutorial,"Master the creation of Discord's elegant search input animation using pure CSS, including width transitions and icon transformations for an enhanced user interface.",https://www.classcentral.com/classroom/youtube-discord-made-the-coolest-css-only-input-animation-410452,master creation discord elegant search input animation use pure css include width transition icon transformation enhance user interface
37,Understanding Flexbox Alignment - Main and Cross Axis Explained,"Demystifies flexbox alignment, explaining main and cross-axis concepts, flex-direction changes, and practical tips for effective CSS layout using justify-content and align-items.",https://www.classcentral.com/classroom/youtube-the-easy-way-to-understand-flexbox-alignment-308330,demystifie flexbox alignment explain main cross axis concept flex direction change practical tip effective css layout use justify content align item
38,Pure CSS Scroll Spy Table of Contents - No JavaScript Required,Master the creation of JavaScript-free scroll spy navigation using pure CSS techniques to build dynamic table of contents that automatically track user position on webpages.,https://www.classcentral.com/classroom/youtube-pure-css-scroll-spy-table-of-contents-no-javascript-required-422959,master creation javascript free scroll spy navigation use pure css technique build dynamic table content automatically track user position webpage
39,Mastering CSS Colors: From Color Gamuts to Advanced Color Functions,"Master advanced CSS color techniques, from color spaces and gamuts to relative colors and color mixing functions. Elevate your styling capabilities with modern color manipulation methods.",https://www.classcentral.com/classroom/youtube-how-to-handle-css-colors-like-a-senior-dev-413218,master advance css color technique color space gamut relative color color mixing function elevate styling capability modern color manipulation method
40,Creating Overlapping Website Sections with CSS - Box Shadow and Gradient Methods,Master CSS techniques for creating overlapping website sections using box-shadow and gradient methods in this practical web design tutorial.,https://www.classcentral.com/classroom/youtube-easily-create-overlapping-sections-on-a-website-417487,master css technique create overlap website section use box shadow gradient method practical web design tutorial
41,Creating a Focus by Negation Effect with CSS - Animation Tutorial,"Master CSS animation techniques to create an engaging ""focus by negation"" effect, exploring scaling, springiness, mobile optimization, and transform properties for dynamic user interactions.",https://www.classcentral.com/classroom/youtube-create-a-super-fun-focus-by-negation-effect-428545,master css animation technique create engaging focus negation effect explore scaling springiness mobile optimization transform property dynamic user interaction
42,The Most Important CSS Update We've Seen in a Long Time,"Explore the groundbreaking ""reading-flow"" CSS feature that enhances grid and flexbox element ordering, with Kevin Powell examining its potential impact and implementation before its official release.",https://www.classcentral.com/classroom/youtube-the-most-important-css-update-we-ve-seen-in-a-long-time-454193,explore groundbreaking reading flow css feature enhance grid flexbox element ordering kevin powell examine potential impact implementation official release
43,New CSS Features to Know for 2025,"Discover upcoming CSS features for 2025, including custom selects, carousels, mixins, anchor positioning, view transitions, and more, plus newly available and widely supported capabilities.",https://www.classcentral.com/classroom/youtube-new-css-features-to-know-for-2025-445402,discover upcoming css feature include custom select carousel mixin anchor positioning view transition plus newly available widely support capability
44,5 CSS Tips Every Developer Should Know,"Discover 5 essential CSS techniques: single-color gradients, user-select property, the all property, masks, and containing blocks for scroll containers, with practical examples and use cases.",https://www.classcentral.com/classroom/youtube-5-css-tips-every-developer-should-know-450431,discover essential css technique single color gradient user select property property mask contain block scroll container practical example use case
45,Create This Trendy Blurry Glass Effect with CSS,"Master the trendy blurry glass effect using CSS backdrop-filter, gradients, and transparency techniques to create modern, elegant UI components.",https://www.classcentral.com/classroom/youtube-create-this-trendy-blurry-glass-effect-with-css-459856,master trendy blurry glass effect use css backdrop filter gradient transparency technique create modern elegant ui component
46,Spice Up Your Site with Quick and Easy Theme Transitions,"Master CSS view transitions to create smooth, engaging theme switches with sliding, bouncing, and circle effects in just 13 minutes.",https://www.classcentral.com/classroom/youtube-spice-up-your-site-with-quick-easy-theme-transitions-472229,master css view transition create smooth engage theme switch slide bounce circle effect minute
47,Introduction to Computer Vision,"This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.",https://www.classcentral.com/course/udacity-introduction-to-computer-vision-1022,course provide introduction computer vision include fundamental method application machine learn classification
48,AP Computer Science A: Java Programming,"Learn Java programming fundamentals, including variables, selection, and object-oriented design. Develop problem-solving skills and explore computer science concepts relevant to the AP Computer Science A exam.",https://www.classcentral.com/course/java-purdue-university-ap-computer-science-a-java-6541,learn java programming fundamental include variable selection object orient design develop problem solve skill explore computer science concept relevant ap computer science exam
49,Machine Learning with Python,"Dive into Machine Learning with Python, covering supervised and unsupervised learning, regression, classification, and clustering. Gain hands-on experience using SciPy and scikit-learn libraries.",https://www.classcentral.com/course/machine-learning-with-python-11714,dive machine learning python cover supervised unsupervised learning regression classification cluster gain hand experience use scipy scikit learn library
50,System Administration and IT Infrastructure Services,"Learn to manage IT infrastructure, cloud resources, servers, and users. Explore disaster recovery, backup strategies, and best practices for hardware and service selection. Gain practical skills for effective systems administration.",https://www.classcentral.com/course/system-administration-it-infrastructure--10219,learn manage infrastructure cloud resource server user explore disaster recovery backup strategy good practice hardware service selection gain practical skill effective system administration
51,Advanced Operating Systems,"In this course, we will see all the advances that have led to the state-of-the-art operating system that we know today, covering variety of platforms -- cell phones, multi-core, parallel systems, distributed systems, and cloud computing.",https://www.classcentral.com/course/udacity-advanced-operating-systems-1016,course advance lead state art operating system know today cover variety platform cell phone multi core parallel system distribute system cloud computing
52,Introducción a la programación en C: Instrucciones de control y ficheros de texto,"En este curso aprenderás sobre condicionales, bucles y ficheros de texto en el lenguaje de programación C, uno de los más utilizados.",https://www.classcentral.com/course/c-programming-universidad-autonoma-de-madrid-intr-12157,en este curso aprenderás sobre condicionales bucle y ficheros de texto en el lenguaje de programación c uno de los más utilizados
53,Data Structures and Performance,"Explore data structures and algorithms for efficient handling of large datasets. Learn asymptotic analysis, linked lists, trees, and hashtables to improve program performance and flexibility.",https://www.classcentral.com/course/data-structures-optimizing-performance-4203,explore datum structure algorithm efficient handling large dataset learn asymptotic analysis link list tree hashtable improve program performance flexibility
54,Trial Lessons: Philosophy and Computer Science,"Explore the intersection of philosophy and computer science through seven concise lectures, covering topics from AI governance to robot rights in this unique master's program preview.",https://www.classcentral.com/course/philosophy-ethics-university-of-bayreuth-trial-le-353497,explore intersection philosophy computer science seven concise lecture cover topic ai governance robot right unique master program preview
55,Complete Intro to Computer Science,Frontend Masters,https://www.classcentral.com/course/frontend-masters-complete-intro-to-computer-science-118012,frontend masters
56,Online Computer Science Degree,Zero To Mastery,https://www.classcentral.com/course/zero-to-mastery-online-computer-science-degree-468016,zero mastery
57,Introduction to Machine Learning with TensorFlow,Introduction to Machine Learning with TensorFlow,https://www.classcentral.com/course/udacity-intro-to-machine-learning-with-tensorflow-nanodegree--nd230-18190,introduction machine learning tensorflow
58,Cybersecurity and Its Ten Domains,"Comprehensive introduction to cybersecurity covering ten domains, including governance, compliance, cryptography, network security, and more. Suitable for beginners and professionals seeking foundational knowledge.",https://www.classcentral.com/course/ksucybersec-3206,comprehensive introduction cybersecurity cover domain include governance compliance cryptography network security suitable beginner professional seek foundational knowledge
59,Ulam Lectures - Cris Moore - Limits of Computers in Science and Society Part 1,"Explore computational limits, problem complexity, and algorithmic challenges in science and society. From easy puzzles to impossible problems, delve into the nature of computation and its societal impact.",https://www.classcentral.com/classroom/youtube-2018-ulam-lectures-cris-moore-limits-of-computers-in-science-and-society-part-1-142033,explore computational limit problem complexity algorithmic challenge science society easy puzzle impossible problem delve nature computation societal impact
60,Berkeley in the 80s - Episode 1- Shafi Goldwasser,"Insightful interview with Turing Laureate Shafi Goldwasser, exploring her groundbreaking research in theoretical computer science, interactive proofs, and zero-knowledge protocols at UC Berkeley in the 1980s.",https://www.classcentral.com/classroom/youtube-berkeley-in-the-80s-episode-1-shafi-goldwasser-134617,insightful interview ture laureate shafi goldwasser explore groundbreake research theoretical computer science interactive proof zero knowledge protocol uc berkeley
61,Invariant Theory for Computer Scientists,"Explore algebraic methods in computer science, focusing on invariant theory, graph isomorphism, and group actions. Learn about algorithms, moment polytopes, and open problems in the field.",https://www.classcentral.com/classroom/youtube-invariant-theory-for-computer-scientists-134618,explore algebraic method computer science focus invariant theory graph isomorphism group action learn algorithm moment polytope open problem field
62,The Beginners Guide to WordPress Troubleshooting,"Learn to troubleshoot common WordPress issues, from broken sites and plugin rollbacks to backend lockouts, CSS problems, redirections, 404 errors, and server issues in this comprehensive guide.",https://www.classcentral.com/classroom/youtube-the-beginners-guide-to-wordpress-troubleshooting-140595,learn troubleshoot common wordpress issue broken site plugin rollback backend lockout css problem redirection error server issue comprehensive guide
63,An Introduction to Boolean Function Analysis - Dor Minzer,"Explore Boolean function analysis, covering influences, PCP theory, and hypercontractive inequalities. Gain insights into fundamental concepts and advanced techniques in discrete mathematics and theoretical computer science.",https://www.classcentral.com/classroom/youtube-an-introduction-to-boolean-function-analysis-dor-minzer-136900,explore boolean function analysis cover influence pcp theory hypercontractive inequality gain insight fundamental concept advanced technique discrete mathematic theoretical computer science
64,"Turing Lecture 2021 - Abstractions, Their Algorithms, and Their Compilers","Explore computational thinking through abstractions, algorithms, and compilers. Delve into compiler design, large dataset handling, and quantum computation, with insights from renowned computer scientists.",https://www.classcentral.com/classroom/youtube-turing-lecture-2021-abstractions-their-algorithms-and-their-compilers-138072,explore computational thinking abstraction algorithm compiler delve compiler design large dataset handling quantum computation insight renowned computer scientist
65,A Brief Tour of Proof Complexity - Lower Bounds and Open Problems - Toniann Pitassi,"Explore proof complexity, lower bounds, and open problems in computer science and discrete mathematics with insights on proof systems and their limitations.",https://www.classcentral.com/classroom/youtube-a-brief-tour-of-proof-complexity-lower-bounds-and-open-problems-toniann-pitassi-136969,explore proof complexity low bound open problem computer science discrete mathematic insight proof system limitation
66,Introduction to CSS Variables - CSS Custom Properties - Full Tutorial,"Comprehensive tutorial on CSS variables, covering creation, overriding, theming, JavaScript integration, and responsiveness. Learn to enhance code efficiency and flexibility in web development.",https://www.classcentral.com/classroom/youtube-introduction-to-css-variables-css-custom-properties-full-tutorial-160149,comprehensive tutorial css variable cover creation overriding theme javascript integration responsiveness learn enhance code efficiency flexibility web development
67,It Is Entropy That Counts by Jaikumar Radhakrishnan,"Explore Shannon entropy's applications in combinatorics and computer science, including randomized two-party communication complexity and quantum communication complexity of Set Disjointness problem.",https://www.classcentral.com/classroom/youtube-it-is-entropy-that-counts-by-jaikumar-radhakrishnan-180882,explore shannon entropy application combinatoric computer science include randomize party communication complexity quantum communication complexity set disjointness problem
68,Getting Started with CSS - CSS Tutorials for Beginners - Learn CSS,"Comprehensive introduction to CSS, covering selectors, properties, and styling techniques. Includes practical demonstrations and examples for beginners to create visually appealing web pages.",https://www.classcentral.com/classroom/youtube-getting-started-with-css-css-tutorials-for-beginners-learn-css-great-learning-173573,comprehensive introduction css cover selector property styling technique include practical demonstration example beginner create visually appeal web page
69,Ranking CSS Units from Best to Worst,"Comprehensive guide ranking CSS units, exploring absolute, relative, viewport, and container units, with insights on their practical applications and benefits.",https://www.classcentral.com/classroom/youtube-ranking-css-units-from-best-to-worst-273475,comprehensive guide rank css unit explore absolute relative viewport container unit insight practical application benefit
70,Styling With Attribute Selectors,Explore advanced CSS techniques using attribute selectors to enhance styling capabilities and solve complex design challenges efficiently.,https://www.classcentral.com/classroom/youtube-styling-with-attribute-selectors-193243,explore advanced css technique use attribute selector enhance styling capability solve complex design challenge efficiently
71,Learn CSS Box Model - Build a Rothko Painting,"Explore CSS box model concepts while creating a Rothko-inspired painting, enhancing your web design skills and artistic expression through practical coding exercises.",https://www.classcentral.com/classroom/youtube-learn-css-box-model-build-a-rothko-painting-freecodecamp-curriculum-262080,explore css box model concept create rothko inspire painting enhance web design skill artistic expression practical code exercise
72,Reverse-Engineering Stripe's Themes with CSS Custom Properties,"Learn to create customizable CSS themes using custom properties, inspired by Stripe's design approach. Practical tutorial on building flexible, reusable styles for modern web development.",https://www.classcentral.com/classroom/youtube-reverse-engineering-stripe-s-themes-with-css-custom-props-262321,learn create customizable css theme use custom property inspire stripe design approach practical tutorial build flexible reusable style modern web development
73,CSS Position Property - Tutorial 28,"Explore CSS position properties: static, relative, absolute, fixed, and sticky. Learn their applications and effects on element positioning in web layouts.",https://www.classcentral.com/classroom/youtube-css-position-property-sigma-web-development-course-tutorial-28-262322,explore css position property static relative absolute fix sticky learn application effect element positioning web layout
74,Binary Number Systems and Conversions,"Explore the fundamentals of binary, its applications in computing, and how it forms the basis for digital information storage and processing.",https://www.classcentral.com/classroom/youtube-binary-259778,explore fundamental binary application computing form basis digital information storage processing
75,Learn CSS - Code Marker-Pens With Me,"Hands-on CSS tutorial for creating marker-pens, ideal for beginners. Practice fundamental styling techniques while building a fun, interactive project.",https://www.classcentral.com/classroom/youtube-learn-css-code-marker-pens-with-me-freecodecamp-curriculum-259976,hand css tutorial create marker pen ideal beginner practice fundamental styling technique build fun interactive project
76,Linear Gradient in CSS - HTML & CSS,Learn to create visually appealing linear gradients in CSS using linear-gradient and repeating-linear-gradient functions. Enhance your web design skills with this practical tutorial.,https://www.classcentral.com/classroom/youtube-linear-gradient-in-css-gradients-in-css-html-css-linear-gradient-function-in-css-217068,learn create visually appeal linear gradient css use linear gradient repeat linear gradient function enhance web design skill practical tutorial
77,Modern CSS Evolution: From Past Practices to Future Trends,"Explore CSS evolution, from preprocessors to modern techniques. Learn about influential changes, new features, and future trends in writing efficient and powerful stylesheets.",https://www.classcentral.com/classroom/youtube-that-s-not-how-i-wrote-css-3-years-ago-manuel-matuzovic-css-day-2023-251263,explore css evolution preprocessor modern technique learn influential change new feature future trend write efficient powerful stylesheet
78,Modern CSS for Dynamic Component-Based Architecture,"Explore modern CSS techniques for dynamic, component-based web development. Learn theming, responsive layouts, and advanced features for scalable, future-friendly projects with real-world examples.",https://www.classcentral.com/classroom/youtube-modern-css-for-dynamic-component-based-architecture-stephanie-eckles-css-day-2023-251267,explore modern css technique dynamic component base web development learn theme responsive layout advanced feature scalable future friendly project real world example
79,CSS Containers - Understanding and Implementing Container Queries,"Comprehensive exploration of CSS Container Queries: from concept to implementation. Learn key differences from media queries, hidden powers, and practical applications in web projects.",https://www.classcentral.com/classroom/youtube-css-containers-what-do-they-know-miriam-suzanne-css-day-2023-251269,comprehensive exploration css container queries concept implementation learn key difference medium query hidden power practical application web project
80,Why Doesn't CSS Have Scope?,"Explore CSS scoping, its necessity, and alternatives. Challenges global CSS, questions stylesheets and frameworks, and draws unexpected parallels with Swedish death metal.",https://www.classcentral.com/classroom/youtube-why-doesn-t-css-have-scope-heydon-pickering-css-day-2023-251271,explore css scoping necessity alternative challenge global css question stylesheet framework draw unexpected parallel swedish death metal
81,Tinkerer by Night - Exploring CSS Possibilities Through Experimentation,"Explore CSS possibilities through live-coding experiments. Discover elegant, joyful ways to design and code the web, embracing both successes and failures as valuable learning experiences.",https://www.classcentral.com/classroom/youtube-tinkerer-by-night-sanne-t-hooft-css-day-2023-251273,explore css possibility live code experiment discover elegant joyful way design code web embrace success failure valuable learning experience
82,State of the CSS Community - CSS Day 2023,"Explore the current landscape of CSS, its evolving features, and the vibrant community shaping its future in this insightful talk by Una Kravets.",https://www.classcentral.com/classroom/youtube-state-of-the-css-community-una-kravets-css-day-2023-251275,explore current landscape css evolving feature vibrant community shape future insightful talk una kravets
83,CSS Runtime Performance - Optimizing Style and Layout Calculation,"Explore CSS runtime performance optimization techniques, understanding browser optimizations and developer strategies to enhance styling speed and efficiency.",https://www.classcentral.com/classroom/youtube-css-runtime-performance-nolan-lawson-performance-now-2022-251284,explore css runtime performance optimization technique understand browser optimization developer strategy enhance styling speed efficiency
84,"Keeping CSS Small - Scopes, Containers, and New Technologies","Explore new CSS and DOM technologies for managing complex stylesheets without adopting complex tooling. Learn about scopes, containers, and other features to keep your CSS small and understandable.",https://www.classcentral.com/classroom/youtube-keeping-your-css-small-scopes-containers-and-other-new-stuff-tab-atkins-bittner-css-day-2022-251292,explore new css dom technology manage complex stylesheet adopt complex tooling learn scope container feature css small understandable
85,The Joy of CSS - Live-Coding a CSS Landscape,"Explore CSS landscape live-coding with Ben Evans, discovering creative techniques, design insights, and the unexpected joys of drawing with code in this entertaining and informative session.",https://www.classcentral.com/classroom/youtube-the-joy-of-css-ben-evans-css-day-2022-251294,explore css landscape live coding ben evans discover creative technique design insight unexpected joy draw code entertaining informative session
86,"CSS Scroll-Snap: Basics, Tricks, and Future Developments","Explore CSS scroll-snap essentials, debugging techniques, and advanced tricks. Learn about related properties and future developments for enhanced web design and user experience.",https://www.classcentral.com/classroom/youtube-oh-snap-adam-argyle-css-day-2022-251297,explore css scroll snap essential debug technique advanced trick learn related property future development enhance web design user experience
87,The CSS Cascade - A Deep Dive,"Explore the intricacies of CSS Cascade, including Origins, Specificity, and Cascade Layers. Gain insights into browser mechanics for determining CSS declaration application.",https://www.classcentral.com/classroom/youtube-the-css-cascade-a-deep-dive-bramus-van-damme-css-day-2022-251301,explore intricacy css cascade include origin specificity cascade layer gain insight browser mechanic determine css declaration application
88,3D Transforms in CSS - Creating Complex Shapes and Animations,"Explore advanced 3D transforms in CSS, creating complex shapes with shading, animations, and transformations. Learn techniques for building intricate geometric solids and dynamic visual effects.",https://www.classcentral.com/classroom/youtube-ana-tudor-3d-transforms-css-day-2014-251388,explore advanced transform css create complex shape shading animation transformation learn technique build intricate geometric solid dynamic visual effect
